productId,currentTitle,improvedTitle,seoTitle,seoTitleLength,seoDescription,seoDescriptionLength,approvedForApply,sellerNote
prod_import_xlsx_1776538003641_51,Dell Latitude 7280 Laptop,Dell Latitude 7280 Refurbished Laptop – Core i5-7300U | 8GB | 256GB | 12.5-inch | Windows 10 Pro,Dell Latitude 7280 Refurbished Laptop UAE,41,"Shop Dell Latitude 7280 with Core i5-7300U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_52,Dell Latitude 7290 Laptop,Dell Latitude 7290 Refurbished Laptop – Core i5-7300U | 8GB | 256GB | 12.5-inch | Windows 10 Pro,Dell Latitude 7290 Refurbished Laptop UAE,41,"Shop Dell Latitude 7290 with Core i5-7300U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_53,Dell Latitude 7300 Laptop,Dell Latitude 7300 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,Dell Latitude 7300 Refurbished Laptop UAE,41,"Shop Dell Latitude 7300 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_54,Dell Latitude 7390 Laptop,Dell Latitude 7390 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,Dell Latitude 7390 Refurbished Laptop UAE,41,"Shop Dell Latitude 7390 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_55,Dell Latitude 7400 Laptop,Dell Latitude 7400 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 14-inch | Windows 11 Pro,Dell Latitude 7400 Refurbished Laptop UAE,41,"Shop Dell Latitude 7400 with Core i5-10310U, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",125,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_56,Dell Latitude 7410 Laptop,Dell Latitude 7410 Refurbished Laptop – Core i5-1145G7 | 16GB | 256GB | 14-inch | Windows 11 Pro,Dell Latitude 7410 Refurbished Laptop UAE,41,"Shop Dell Latitude 7410 with Core i5-1145G7, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",125,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_57,Dell Latitude 7420 Laptop,Dell Latitude 7420 Refurbished Laptop – Core i5-1235U | 16GB | 512GB | 14-inch | Windows 11 Pro,Dell Latitude 7420 Refurbished Laptop UAE,41,"Shop Dell Latitude 7420 with Core i5-1235U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_58,Dell Latitude 7430 Laptop,Dell Latitude 7430 Refurbished Laptop – Core i5-1335U | 16GB | 512GB | 14-inch | Windows 11 Pro,Dell Latitude 7430 Refurbished Laptop UAE,41,"Shop Dell Latitude 7430 with Core i5-1335U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_61,Dell Latitude 7480 Laptop,Dell Latitude 7480 Refurbished Laptop – Core i5-7300U | 8GB | 256GB | 14-inch | Windows 10 Pro,Dell Latitude 7480 Refurbished Laptop UAE,41,"Shop Dell Latitude 7480 with Core i5-7300U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_62,Dell Latitude 7490 Laptop,Dell Latitude 7490 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,Dell Latitude 7490 Refurbished Laptop UAE,41,"Shop Dell Latitude 7490 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_63,Dell Latitude 5400 Laptop,Dell Latitude 5400 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,Dell Latitude 5400 Refurbished Laptop UAE,41,"Shop Dell Latitude 5400 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",123,true,Batch 01 approved for content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
