productId,currentTitle,improvedTitle,seoTitle,seoTitleLength,seoDescription,seoDescriptionLength,approvedForApply,sellerNote
prod_import_xlsx_1776538003641_1,HP EliteBook 840 G3 Laptop,HP EliteBook 840 G3 Refurbished Laptop – Core i5-6300U | 8GB | 256GB | 14-inch | Windows 10 Pro,HP EliteBook 840 G3 Refurbished Laptop UAE,42,"Shop HP EliteBook 840 G3 with Core i5-6300U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_2,HP EliteBook 840 G5 Laptop,HP EliteBook 840 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 14-inch | Windows 11 Pro,HP EliteBook 840 G5 Refurbished Laptop UAE,42,"Shop HP EliteBook 840 G5 with Core i5-8250U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_3,HP EliteBook 840 G6 Laptop,HP EliteBook 840 G6 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,HP EliteBook 840 G6 Refurbished Laptop UAE,42,"Shop HP EliteBook 840 G6 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_4,HP EliteBook 840 G7 Laptop,HP EliteBook 840 G7 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 14-inch | Windows 11 Pro,HP EliteBook 840 G7 Refurbished Laptop UAE,42,"Shop HP EliteBook 840 G7 with Core i5-10310U, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",126,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_5,HP EliteBook 840 G8 Laptop,HP EliteBook 840 G8 Refurbished Laptop – Core i5-1135G7 | 16GB | 256GB | 14-inch | Windows 11 Pro,HP EliteBook 840 G8 Refurbished Laptop UAE,42,"Shop HP EliteBook 840 G8 with Core i5-1135G7, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",126,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_6,HP EliteBook 850 G5 Laptop,HP EliteBook 850 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 15.6-inch | Windows 11 Pro,HP EliteBook 850 G5 Refurbished Laptop UAE,42,"Shop HP EliteBook 850 G5 with Core i5-8250U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_7,HP EliteBook 850 G6 Laptop,HP EliteBook 850 G6 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 15.6-inch | Windows 11 Pro,HP EliteBook 850 G6 Refurbished Laptop UAE,42,"Shop HP EliteBook 850 G6 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",124,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_8,HP EliteBook 850 G7 Laptop,HP EliteBook 850 G7 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 15.6-inch | Windows 11 Pro,HP EliteBook 850 G7 Refurbished Laptop UAE,42,"Shop HP EliteBook 850 G7 with Core i5-10310U, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",126,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_9,HP EliteBook 745 G5 Laptop,HP EliteBook 745 G5 Refurbished Laptop – Ryzen 5 PRO 2500U | 8GB | 256GB | 14-inch | Windows 11,HP EliteBook 745 G5 Refurbished Laptop UAE,42,"Shop HP EliteBook 745 G5 with Ryzen 5 PRO 2500U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",128,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_10,HP EliteBook 745 G6 Laptop,HP EliteBook 745 G6 Refurbished Laptop – Ryzen 5 PRO 3500U | 8GB | 256GB | 14-inch | Windows 11,HP EliteBook 745 G6 Refurbished Laptop UAE,42,"Shop HP EliteBook 745 G6 with Ryzen 5 PRO 3500U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",128,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_11,HP ProBook 440 G5 Laptop,HP ProBook 440 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 14-inch | Windows 11 Pro,HP ProBook 440 G5 Refurbished Laptop UAE,40,"Shop HP ProBook 440 G5 with Core i5-8250U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",122,true,Batch 02 approved for HP content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
