productId,currentTitle,improvedTitle,seoTitle,seoTitleLength,seoDescription,seoDescriptionLength,approvedForApply,sellerNote
prod_import_xlsx_1776538003641_101,Lenovo ThinkPad T480 Laptop,Lenovo ThinkPad T480 Refurbished Laptop – Core i5-8350U | 8GB | 256GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad T480 Refurbished Laptop UAE,43,"Shop Lenovo ThinkPad T480 with Core i5-8350U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",125,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_102,Lenovo ThinkPad T490 Laptop,Lenovo ThinkPad T490 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad T490 Refurbished Laptop UAE,43,"Shop Lenovo ThinkPad T490 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",125,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_103,Lenovo ThinkPad T14 Laptop,Lenovo ThinkPad T14 Refurbished Laptop – Core i5-10210U | 16GB | 256GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad T14 Refurbished Laptop UAE,42,"Shop Lenovo ThinkPad T14 with Core i5-10210U, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",126,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_104,Lenovo ThinkPad T14 Gen 2 Laptop,Lenovo ThinkPad T14 Gen 2 Refurbished Laptop – Core i5-1135G7 | 16GB | 256GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad T14 Gen 2 Refurbished Laptop UAE,48,"Shop Lenovo ThinkPad T14 Gen 2 with Core i5-1135G7, 16GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",132,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_105,Lenovo ThinkPad T14 Gen 3 Laptop,Lenovo ThinkPad T14 Gen 3 Refurbished Laptop – Core i5-1235U | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad T14 Gen 3 Refurbished Laptop UAE,48,"Shop Lenovo ThinkPad T14 Gen 3 with Core i5-1235U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",131,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_106,Lenovo ThinkPad T14 Gen 4 Laptop,Lenovo ThinkPad T14 Gen 4 Refurbished Laptop – Core i5-1335U | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad T14 Gen 4 Refurbished Laptop UAE,48,"Shop Lenovo ThinkPad T14 Gen 4 with Core i5-1335U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",131,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_111,Lenovo ThinkPad X1 Carbon Gen 6 Laptop,Lenovo ThinkPad X1 Carbon Gen 6 Refurbished Laptop – Core i5-8350U | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad X1 Carbon Gen 6 Refurbished Laptop UAE,54,"Shop Lenovo ThinkPad X1 Carbon Gen 6 with Core i5-8350U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",137,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_112,Lenovo ThinkPad X1 Carbon Gen 7 Laptop,Lenovo ThinkPad X1 Carbon Gen 7 Refurbished Laptop – Core i5-8265U | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad X1 Carbon Gen 7 Refurbished Laptop UAE,54,"Shop Lenovo ThinkPad X1 Carbon Gen 7 with Core i5-8265U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",137,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_113,Lenovo ThinkPad X1 Carbon Gen 8 Laptop,Lenovo ThinkPad X1 Carbon Gen 8 Refurbished Laptop – Core i5-10210U | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad X1 Carbon Gen 8 Refurbished Laptop UAE,54,"Shop Lenovo ThinkPad X1 Carbon Gen 8 with Core i5-10210U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",138,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_114,Lenovo ThinkPad X1 Carbon Gen 9 Laptop,Lenovo ThinkPad X1 Carbon Gen 9 Refurbished Laptop – Core i5-1135G7 | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad X1 Carbon Gen 9 Refurbished Laptop UAE,54,"Shop Lenovo ThinkPad X1 Carbon Gen 9 with Core i5-1135G7, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",138,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_115,Lenovo ThinkPad X1 Carbon Gen 10 Laptop,Lenovo ThinkPad X1 Carbon Gen 10 Refurbished Laptop – Core i5-1240P | 16GB | 512GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad X1 Carbon Gen 10 Refurbished Laptop UAE,55,"Shop Lenovo ThinkPad X1 Carbon Gen 10 with Core i5-1240P, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",138,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_116,Lenovo ThinkPad X1 Yoga Gen 3 Laptop,Lenovo ThinkPad X1 Yoga Gen 3 Renewed Laptop – Core i5-8350U | 16GB | 512GB | 14-inch | Windows 11 Home,Lenovo ThinkPad X1 Yoga Gen 3 Refurbished Laptop UAE,52,"Shop Lenovo ThinkPad X1 Yoga Gen 3 with Core i5-8350U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",135,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_117,Lenovo ThinkPad X1 Yoga Gen 4 Laptop,Lenovo ThinkPad X1 Yoga Gen 4 Renewed Laptop – Core i5-10210U | 16GB | 512GB | 14-inch | Windows 11 Home,Lenovo ThinkPad X1 Yoga Gen 4 Refurbished Laptop UAE,52,"Shop Lenovo ThinkPad X1 Yoga Gen 4 with Core i5-10210U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",136,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_118,Lenovo ThinkPad X1 Yoga Gen 5 Laptop,Lenovo ThinkPad X1 Yoga Gen 5 Renewed Laptop – Core i5-1135G7 | 16GB | 512GB | 14-inch | Windows 11 Home,Lenovo ThinkPad X1 Yoga Gen 5 Refurbished Laptop UAE,52,"Shop Lenovo ThinkPad X1 Yoga Gen 5 with Core i5-1135G7, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",136,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_119,Lenovo ThinkPad E480 Laptop,Lenovo ThinkPad E480 Refurbished Laptop – Core i5-8350U | 8GB | 256GB | 14-inch | Windows 11 Pro,Lenovo ThinkPad E480 Refurbished Laptop UAE,43,"Shop Lenovo ThinkPad E480 with Core i5-8350U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",125,true,Batch 03 approved for Lenovo/ThinkPad content-only apply after manual image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
