productId,currentTitle,improvedTitle,detectedBrand,detectedModel,confidenceLevel,approvedForApply,seoTitle,seoDescription,sellerNote
prod_import_xlsx_1776538003641_66,Dell Latitude 5430 Laptop,Dell Latitude 5430 Refurbished Laptop – Core i5-1235U | 16GB | 512GB | 14-inch | Windows 11 Pro,Dell,Latitude 5430,high,true,Dell Latitude 5430 Refurbished Laptop UAE,"Shop Dell Latitude 5430 with Core i5-1235U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_67,Dell Latitude 5440 Laptop,Dell Latitude 5440 Refurbished Laptop – Core i5-1335U | 16GB | 512GB | 14-inch | Windows 11 Pro,Dell,Latitude 5440,high,true,Dell Latitude 5440 Refurbished Laptop UAE,"Shop Dell Latitude 5440 with Core i5-1335U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_70,Dell Latitude 5490 Laptop,Dell Latitude 5490 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,Dell,Latitude 5490,high,true,Dell Latitude 5490 Refurbished Laptop UAE,"Shop Dell Latitude 5490 with Core i5-8365U, 8GB, and 256GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_74,Dell Latitude 5530 Laptop,Dell Latitude 5530 Refurbished Laptop – Core i5-1235U | 16GB | 512GB | 15.6-inch | Windows 11 Pro,Dell,Latitude 5530,high,true,Dell Latitude 5530 Refurbished Laptop UAE,"Shop Dell Latitude 5530 with Core i5-1235U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_75,Dell Latitude 5540 Laptop,Dell Latitude 5540 Refurbished Laptop – Core i5-1335U | 16GB | 512GB | 15.6-inch | Windows 11 Pro,Dell,Latitude 5540,high,true,Dell Latitude 5540 Refurbished Laptop UAE,"Shop Dell Latitude 5540 with Core i5-1335U, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_86,Dell Vostro 3400 Laptop,Dell Vostro 3400 Refurbished Laptop – Core i5-1135G7 | 8GB | 512GB | 14-inch | Windows 11 Pro,Dell,Vostro 3400,high,true,Dell Vostro 3400 Refurbished Laptop UAE,"Shop Dell Vostro 3400 with Core i5-1135G7, 8GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_87,Dell Vostro 3500 Laptop,Dell Vostro 3500 Refurbished Laptop – Core i5-1135G7 | 8GB | 512GB | 15.6-inch | Windows 11 Pro,Dell,Vostro 3500,high,true,Dell Vostro 3500 Refurbished Laptop UAE,"Shop Dell Vostro 3500 with Core i5-1135G7, 8GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_89,Dell Vostro 3520 Laptop,Dell Vostro 3520 Refurbished Laptop – Core i5-1235U | 8GB | 512GB | 15.6-inch | Windows 11 Pro,Dell,Vostro 3520,high,true,Dell Vostro 3520 Refurbished Laptop UAE,"Shop Dell Vostro 3520 with Core i5-1235U, 8GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_90,Dell Vostro 3530 Laptop,Dell Vostro 3530 Refurbished Laptop – Core i5-1335U | 8GB | 512GB | 15.6-inch | Windows 11 Pro,Dell,Vostro 3530,high,true,Dell Vostro 3530 Refurbished Laptop UAE,"Shop Dell Vostro 3530 with Core i5-1335U, 8GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_91,Dell XPS 13 (9310) Laptop,Dell XPS 13 (9310) Renewed Laptop – Core i7-1165G7 | 16GB | 512GB | 13.4-inch | Windows 11 Home,Dell,XPS 13 (9310),high,true,Dell XPS 13 (9310) Refurbished Laptop UAE,"Shop Dell XPS 13 (9310) with Core i7-1165G7, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_92,Dell XPS 13 (9320) Laptop,Dell XPS 13 (9320) Renewed Laptop – Core i7-1260P | 16GB | 512GB | 13.4-inch | Windows 11 Home,Dell,XPS 13 (9320),high,true,Dell XPS 13 (9320) Refurbished Laptop UAE,"Shop Dell XPS 13 (9320) with Core i7-1260P, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_93,Dell XPS 15 (9500) Laptop,Dell XPS 15 (9500) Renewed Laptop – Core i7-10750H | 16GB | 512GB | 15.6-inch | Windows 11 Home,Dell,XPS 15 (9500),high,true,Dell XPS 15 (9500) Refurbished Laptop UAE,"Shop Dell XPS 15 (9500) with Core i7-10750H, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_94,Dell XPS 15 (9510) Laptop,Dell XPS 15 (9510) Renewed Laptop – Core i7-11800H | 16GB | 512GB | 15.6-inch | Windows 11 Home,Dell,XPS 15 (9510),high,true,Dell XPS 15 (9510) Refurbished Laptop UAE,"Shop Dell XPS 15 (9510) with Core i7-11800H, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_95,Dell XPS 15 (9520) Laptop,Dell XPS 15 (9520) Renewed Laptop – Core i7-12700H | 16GB | 512GB | 15.6-inch | Windows 11 Home,Dell,XPS 15 (9520),high,true,Dell XPS 15 (9520) Refurbished Laptop UAE,"Shop Dell XPS 15 (9520) with Core i7-12700H, 16GB, and 512GB. Draft listing prepared for verified UAE marketplace enrichment.",Batch 05 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
