productId,currentTitle,improvedTitle,confidenceLevel,approvedForApply,reason
prod_import_xlsx_1776538003641_59,Dell Latitude 7440 Laptop,Dell Latitude 7440 Refurbished Laptop – Core i5 Ultra | 16GB | 512GB | 14-inch | Windows 11 Pro,high,false,"Processor string is too generic (""Core i5 Ultra"") to safely confirm the exact CPU/spec combination from current draft data."
prod_import_xlsx_1776538003641_60,Dell Latitude 7450 Laptop,Dell Latitude 7450 Refurbished Laptop – Core i5 Ultra | 16GB | 512GB | 14-inch | Windows 11 Pro,high,false,"Processor string is too generic (""Core i5 Ultra"") to safely confirm the exact CPU/spec combination from current draft data."
prod_import_xlsx_1776538003641_68,Dell Latitude 5450 Laptop,Dell Latitude 5450 Refurbished Laptop – Core i5 Ultra | 16GB | 512GB | 14-inch | Windows 11 Pro,high,false,"Processor string is too generic (""Core i5 Ultra"") to safely confirm the exact CPU/spec combination from current draft data."
prod_import_xlsx_1776538003641_69,Dell Latitude 5480 Laptop,Dell Latitude 5480 Refurbished Laptop – Core i5 | 8GB | 256GB | 14-inch | Windows 11 Pro,high,false,"Processor is recorded only as ""Core i5"", so the exact model/spec bundle is still too weak for safe approval."
prod_import_xlsx_1776538003641_76,Dell Inspiron 14 3000 Laptop,Dell Inspiron 14 3000 Renewed Laptop – Core i5-1235U | 8GB | 512GB | 14-inch | Windows 11 Home,high,false,Model is still a broad series-level identifier (Inspiron 14 3000) rather than a clearly pinned exact SKU/config.
prod_import_xlsx_1776538003641_77,Dell Inspiron 15 3000 Laptop,Dell Inspiron 15 3000 Renewed Laptop – Core i5-1235U | 8GB | 512GB | 15.6-inch | Windows 11 Home,high,false,Model is still a broad series-level identifier (Inspiron 15 3000) rather than a clearly pinned exact SKU/config.
prod_import_xlsx_1776538003641_78,Dell Inspiron 14 5000 Laptop,Dell Inspiron 14 5000 Renewed Laptop – Core i5-11320H | 16GB | 512GB | 14-inch | Windows 11 Home,high,false,Model is still a broad series-level identifier (Inspiron 14 5000) rather than a clearly pinned exact SKU/config.
prod_import_xlsx_1776538003641_79,Dell Inspiron 15 5000 Laptop,Dell Inspiron 15 5000 Renewed Laptop – Core i5-11320H | 16GB | 512GB | 15.6-inch | Windows 11 Home,high,false,Model is still a broad series-level identifier (Inspiron 15 5000) rather than a clearly pinned exact SKU/config.
prod_import_xlsx_1776538003641_80,Dell Inspiron 14 7000 Laptop,Dell Inspiron 14 7000 Renewed Laptop – Core i7-1260P | 16GB | 512GB | 14-inch | Windows 11 Home,high,false,Model is still a broad series-level identifier (Inspiron 14 7000) rather than a clearly pinned exact SKU/config.
prod_import_xlsx_1776538003641_81,Dell Inspiron 15 7000 Laptop,Dell Inspiron 15 7000 Renewed Laptop – Core i7-1260P | 16GB | 512GB | 15.6-inch | Windows 11 Home,high,false,Model is still a broad series-level identifier (Inspiron 15 7000) rather than a clearly pinned exact SKU/config.
prod_import_xlsx_1776538003641_82,Dell Inspiron 3501 Laptop,Dell Inspiron 3501 Renewed Laptop – Core i5-1135G7 | 8GB | 512GB | 15.6-inch | Windows 11 Home,high,false,"Consumer model family is plausible, but current draft data still does not prove the exact variant-specific spec bundle strongly enough."
prod_import_xlsx_1776538003641_83,Dell Inspiron 3511 Laptop,Dell Inspiron 3511 Renewed Laptop – Core i5-1135G7 | 8GB | 512GB | 15.6-inch | Windows 11 Home,high,false,"Consumer model family is plausible, but current draft data still does not prove the exact variant-specific spec bundle strongly enough."
prod_import_xlsx_1776538003641_84,Dell Inspiron 3520 Laptop,Dell Inspiron 3520 Renewed Laptop – Core i5-1235U | 8GB | 512GB | 15.6-inch | Windows 11 Home,high,false,"Consumer model family is plausible, but current draft data still does not prove the exact variant-specific spec bundle strongly enough."
prod_import_xlsx_1776538003641_85,Dell Inspiron 3530 Laptop,Dell Inspiron 3530 Renewed Laptop – Core i5-1335U | 8GB | 512GB | 15.6-inch | Windows 11 Home,high,false,"Consumer model family is plausible, but current draft data still does not prove the exact variant-specific spec bundle strongly enough."
prod_import_xlsx_1776538003641_88,Dell Vostro 3510 Laptop,Dell Vostro 3510 Refurbished Laptop – Core i5-1335U | 8GB | 512GB | 15.6-inch | Windows 11 Pro,high,false,"Spec suggestion looks too strong for the currently stored model-only record, so exact CPU/config confirmation is still missing."
prod_import_xlsx_1776538003641_96,Dell G3 15 Laptop,Dell G3 15 Renewed Laptop – Core i5-10300H | 16GB | 1TB | 15.6-inch | Windows 11 Home,high,false,Gaming family title is too broad to safely approve the exact configuration without stronger variant evidence.
prod_import_xlsx_1776538003641_97,Dell G5 15 Laptop,Dell G5 15 Renewed Laptop – Core i7-10750H | 16GB | 1TB | 15.6-inch | Windows 11 Home,high,false,Gaming family title is too broad to safely approve the exact configuration without stronger variant evidence.
prod_import_xlsx_1776538003641_98,Dell G15 Gaming Laptop,Dell G15 Gaming Renewed Laptop – Core i7-13650HX | 16GB | 1TB | 15.6-inch | Windows 11 Home,high,false,Gaming family title is too broad to safely approve the exact configuration without stronger variant evidence.
