id,title,slug,brand,confidence,categoryPath,sku,importFile,priceUae,priceKsa,compareAtPriceUae,compareAtPriceKsa,processor,ram,storage,condition,imageCount,blockers,notes
prod_import_xlsx_1776538003641_1,HP EliteBook 840 G3 Refurbished Laptop – Core i5-6300U | 8GB | 256GB | 14-inch | Windows 10 Pro,hp-elitebook-840-g3,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-840-G3,exshopi_full_350_products_with_specs.xlsx,700,,700,,Core i5-6300U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_2,HP EliteBook 840 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 14-inch | Windows 11 Pro,hp-elitebook-840-g5,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-840-G5,exshopi_full_350_products_with_specs.xlsx,850,,850,,Core i5-8250U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_3,HP EliteBook 840 G6 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,hp-elitebook-840-g6,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-840-G6,exshopi_full_350_products_with_specs.xlsx,950,,950,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_4,HP EliteBook 840 G7 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 14-inch | Windows 11 Pro,hp-elitebook-840-g7,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-840-G7,exshopi_full_350_products_with_specs.xlsx,1100,,1100,,Core i5-10310U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_5,HP EliteBook 840 G8 Refurbished Laptop – Core i5-1135G7 | 16GB | 256GB | 14-inch | Windows 11 Pro,hp-elitebook-840-g8,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-840-G8,exshopi_full_350_products_with_specs.xlsx,1200,,1200,,Core i5-1135G7,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_6,HP EliteBook 850 G5 Refurbished Laptop – Core i5-8250U | 8GB | 256GB | 15.6-inch | Windows 11 Pro,hp-elitebook-850-g5,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-850-G5,exshopi_full_350_products_with_specs.xlsx,930,,930,,Core i5-8250U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_7,HP EliteBook 850 G6 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 15.6-inch | Windows 11 Pro,hp-elitebook-850-g6,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-850-G6,exshopi_full_350_products_with_specs.xlsx,1030,,1030,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_8,HP EliteBook 850 G7 Refurbished Laptop – Core i5-10310U | 16GB | 256GB | 15.6-inch | Windows 11 Pro,hp-elitebook-850-g7,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-850-G7,exshopi_full_350_products_with_specs.xlsx,1180,,1180,,Core i5-10310U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_9,HP EliteBook 745 G5 Refurbished Laptop – Ryzen 5 PRO 2500U | 8GB | 256GB | 14-inch | Windows 11,hp-elitebook-745-g5,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-745-G5,exshopi_full_350_products_with_specs.xlsx,850,,850,,Ryzen 5 PRO 2500U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_10,HP EliteBook 745 G6 Refurbished Laptop – Ryzen 5 PRO 3500U | 8GB | 256GB | 14-inch | Windows 11,hp-elitebook-745-g6,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-745-G6,exshopi_full_350_products_with_specs.xlsx,950,,950,,Ryzen 5 PRO 3500U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
